WELL_NAME;DEPTH;Kp;AK_XM;GK_XM;NGK_XM;BK_XM;PL_XM;TVDSS
180_02;1720.200000;-999.250000;217.309998;21.320999;1.974000;74.613998;-999.250000;1364.131920
180_02;1720.300000;-999.250000;222.046494;19.304001;2.062000;58.513355;-999.250000;1364.231880
180_02;1720.400000;-999.250000;226.783005;17.287001;2.150000;45.887001;-999.250000;1364.331840
180_02;1720.500000;-999.250000;229.091507;17.204500;2.213500;45.221676;-999.250000;1364.431800
180_02;1720.600000;-999.250000;231.399994;17.122000;2.277000;44.566002;-999.250000;1364.531760
180_02;1720.700000;-999.250000;229.536499;17.143499;2.284500;47.599743;-999.250000;1364.631720
180_02;1720.800000;-999.250000;227.673004;17.165001;2.292000;50.840000;-999.250000;1364.731680
180_02;1720.900000;-999.250000;227.117996;17.443001;2.259500;50.674229;-999.250000;1364.831640
180_02;1721.000000;-999.250000;226.563004;17.721001;2.227000;50.508999;-999.250000;1364.931600
180_02;1721.100000;-999.250000;225.764496;18.032000;2.219500;47.794559;-999.250000;1365.031560
180_02;1721.200000;-999.250000;224.966003;18.343000;2.212000;45.226002;-999.250000;1365.131520
180_02;1721.300000;-999.250000;225.419998;18.663000;2.167500;42.852203;-999.250000;1365.231480
180_02;1721.400000;-999.250000;225.873993;18.983000;2.123000;40.603001;-999.250000;1365.331440
180_02;1721.500000;-999.250000;228.541000;19.191500;2.104000;30.845585;-999.250000;1365.431400
180_02;1721.600000;-999.250000;231.207993;19.400000;2.085000;23.433001;-999.250000;1365.531360
180_02;1721.700000;-999.250000;229.812500;19.811501;2.219500;26.530304;-999.250000;1365.631320
180_02;1721.800000;-999.250000;228.417007;20.223000;2.354000;30.037001;-999.250000;1365.731280
180_02;1721.900000;-999.250000;224.125504;20.635000;2.479000;29.537344;-999.250000;1365.831240
180_02;1722.000000;-999.250000;219.834000;21.047001;2.604000;29.046000;-999.250000;1365.931200
180_02;1722.100000;-999.250000;213.371506;21.282499;2.661500;34.758297;-999.250000;1366.031160
180_02;1722.400000;-999.250000;209.093994;15.356000;2.661000;60.416000;-999.250000;1366.331040
180_02;1722.500000;-999.250000;212.082001;15.388000;2.594000;54.514244;-999.250000;1366.431000
180_02;1722.600000;-999.250000;215.070007;15.420000;2.527000;49.188999;-999.250000;1366.530960
180_02;1722.700000;-999.250000;218.416000;15.468500;2.479000;51.919704;-999.250000;1366.630920
180_02;1722.800000;-999.250000;221.761993;15.517000;2.431000;54.801998;-999.250000;1366.730880
180_02;1722.900000;-999.250000;224.617004;14.820000;2.650000;53.464684;-999.250000;1366.830840
180_02;1723.000000;-999.250000;227.472000;14.123000;2.869000;52.160000;-999.250000;1366.930800
180_02;1723.100000;-999.250000;225.213501;12.904000;3.280000;48.923061;-999.250000;1367.030760
180_02;1723.200000;-999.250000;222.955002;11.685000;3.691000;45.887001;-999.250000;1367.130720
180_02;1723.300000;-999.250000;214.133499;10.466000;4.102000;52.219105;-999.250000;1367.230680
180_02;1727.800000;-999.250000;239.175995;11.152000;1.887000;174.005005;-999.250000;1371.728880
180_03;1781.900000;-999.250000;245.820999;12.752000;2.468500;21.007132;2.387000;1383.405225
180_03;1782.000000;-999.250000;232.979996;12.368000;2.524000;21.865999;2.389000;1383.505200
180_03;1782.100000;-999.250000;227.895004;12.320000;2.575500;24.449390;2.405000;1383.605175
180_03;1782.200000;-999.250000;222.809998;12.272000;2.627000;27.337999;2.451000;1383.705151
180_03;1782.300000;-999.250000;223.632004;12.572000;2.672000;29.367191;2.509000;1383.805126
180_03;1782.400000;-999.250000;224.453995;12.872000;2.717000;31.547001;2.501000;1383.905102
180_03;1782.500000;0.058000;226.114502;13.020000;2.747000;36.064545;2.501000;1384.005077
180_03;1782.600000;0.058000;227.774994;13.168000;2.777000;41.229000;2.487000;1384.105052
180_03;1782.700000;0.058000;226.914993;12.992000;2.785500;48.213829;2.465000;1384.205028
180_03;1782.800000;0.058000;226.054993;12.816000;2.794000;56.382000;2.437000;1384.305003
180_03;1782.900000;0.099000;221.573502;12.432000;2.765500;60.248428;2.443000;1384.404978
180_03;1783.000000;0.099000;217.091995;12.048000;2.737000;64.379997;2.467000;1384.504954
180_03;1783.100000;0.099000;211.238998;11.920000;2.743500;70.218277;2.491000;1384.604929
180_03;1783.600000;-999.250000;213.503998;14.407000;2.802000;40.807999;2.489000;1385.104806
180_03;1783.700000;-999.250000;217.781494;15.055500;2.861500;46.512753;2.483000;1385.204782
180_03;1783.800000;0.059000;222.059006;15.704000;2.921000;53.014999;2.469000;1385.304757
180_03;1783.900000;0.059000;219.039505;16.353001;3.021500;61.401211;2.467000;1385.404732
180_03;1784.000000;0.059000;216.020004;17.002001;3.122000;71.113998;2.471000;1385.504708
180_03;1784.100000;0.059000;214.298996;17.650499;3.188500;71.742722;2.471000;1385.604683
180_03;1784.200000;0.066000;212.578003;18.299000;3.255000;72.376999;2.457000;1385.704658
180_03;1784.300000;0.066000;215.377502;18.853500;3.319000;66.451981;2.431000;1385.804634
180_03;1784.400000;0.066000;218.177002;19.408001;3.383000;61.012001;2.419000;1385.904609
180_03;1784.500000;0.066000;218.815506;19.392000;3.447500;64.689659;2.405000;1386.004585
180_03;1784.600000;-999.250000;219.453995;19.375999;3.512000;68.588997;2.415000;1386.104560
180_03;1784.700000;-999.250000;224.643494;19.232000;3.630500;68.378174;2.425000;1386.204535
180_03;1784.800000;-999.250000;229.832993;19.087999;3.749000;68.167999;2.421000;1386.304511
180_03;1784.900000;-999.250000;233.261002;18.799999;3.806500;64.267937;2.405000;1386.404486
180_03;1785.000000;-999.250000;236.688995;18.511999;3.864000;60.591000;2.379000;1386.504462
180_03;1785.100000;-999.250000;234.153503;17.868999;3.922000;53.909061;2.351000;1386.604437
180_03;1785.200000;-999.250000;231.617996;17.226000;3.980000;47.964001;2.317000;1386.704412
180_03;1785.300000;-999.250000;226.959503;16.271999;4.029000;51.220455;2.279000;1386.804388
